Time,Minnesota,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:59.0,N. Reid makes 3-pt jump shot from 25 ft (assist by K. Towns),79-77, ,Lead change,3,77,79,-2,1921.0
3:34.0, ,79-77,D. White misses 2-pt layup from 9 ft (block by S. Milton),,3,77,79,-2,1946.0
3:31.0,Defensive rebound by S. Milton,79-77, ,,3,77,79,-2,1949.0
3:13.0,A. Edwards misses 2-pt jump shot from 18 ft,79-77, ,,3,77,79,-2,1967.0
3:12.0,Offensive rebound by Team,79-77, ,,3,77,79,-2,1968.0
3:12.0, ,79-77,Loose ball foul by J. Tatum (drawn by K. Towns),,3,77,79,-2,1968.0
3:12.0,Minnesota full timeout,79-77, ,,3,77,79,-2,1968.0
3:12.0,K. Anderson enters the game for N. Alexander-Walker,79-77, ,,3,77,79,-2,1968.0
3:12.0,J. McLaughlin enters the game for K. Towns,79-77, ,,3,77,79,-2,1968.0
3:12.0, ,79-77,S. Hauser enters the game for J. Brown,,3,77,79,-2,1968.0
3:12.0, ,79-77,L. Kornet enters the game for A. Horford,,3,77,79,-2,1968.0
3:12.0, ,79-77,P. Pritchard enters the game for D. White,,3,77,79,-2,1968.0
3:02.0,N. Reid misses 2-pt layup from 6 ft,79-77, ,,3,77,79,-2,1978.0
3:01.0, ,79-77,Defensive rebound by Team,,3,77,79,-2,1979.0
2:52.0, ,79-77,J. Holiday misses 2-pt jump shot from 20 ft,,3,77,79,-2,1988.0
2:49.0,Defensive rebound by N. Reid,79-77, ,,3,77,79,-2,1991.0
2:37.0,A. Edwards makes 3-pt jump shot from 27 ft,82-77, ,,3,77,82,-5,2003.0
2:15.0, ,82-79,J. Tatum makes 2-pt layup from 2 ft,,3,79,82,-3,2025.0
2:03.0,N. Reid misses 2-pt jump shot from 11 ft,82-79, ,,3,79,82,-3,2037.0
2:02.0, ,82-79,Defensive rebound by S. Hauser,,3,79,82,-3,2038.0
1:54.0, ,82-79,J. Tatum misses 3-pt jump shot from 26 ft,,3,79,82,-3,2046.0
1:52.0,Defensive rebound by A. Edwards,82-79, ,,3,79,82,-3,2048.0
1:49.0,A. Edwards misses 2-pt layup from 4 ft (block by S. Hauser),82-79, ,,3,79,82,-3,2051.0
1:48.0,Offensive rebound by Team,82-79, ,,3,79,82,-3,2052.0
1:40.0,Shooting foul by L. Kornet (drawn by K. Anderson),82-79, ,,3,79,82,-3,2060.0
1:40.0,K. Anderson misses free throw 1 of 2,82-79, ,,3,79,82,-3,2060.0
1:40.0,Offensive rebound by Team,82-79, ,,3,79,82,-3,2060.0
1:40.0,K. Anderson makes free throw 2 of 2,83-79, ,,3,79,83,-4,2060.0
