Time,Sacramento,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:53.0,K. Murray misses 3-pt jump shot from 27 ft,21-37, ,,2,37,21,16,967.0
7:52.0, ,21-37,Defensive rebound by S. Hauser,,2,37,21,16,968.0
7:41.0, ,21-37,S. Hauser misses 3-pt jump shot from 26 ft,,2,37,21,16,979.0
7:40.0,Defensive rebound by K. Ellis,21-37, ,,2,37,21,16,980.0
7:28.0,K. Murray makes 3-pt jump shot from 24 ft (assist by K. Ellis),24-37, ,,2,37,24,13,992.0
7:12.0, ,24-40,P. Pritchard makes 3-pt jump shot from 28 ft (assist by J. Holiday),,2,40,24,16,1008.0
6:58.0,K. Ellis misses 2-pt jump shot from 17 ft,24-40, ,,2,40,24,16,1022.0
6:57.0, ,24-40,Defensive rebound by J. Holiday,,2,40,24,16,1023.0
6:51.0, ,24-40,S. Hauser misses 2-pt jump shot from 10 ft,,2,40,24,16,1029.0
6:50.0, ,24-40,Offensive rebound by J. Holiday,,2,40,24,16,1030.0
6:47.0, ,24-40,P. Pritchard misses 3-pt jump shot from 24 ft,,2,40,24,16,1033.0
6:45.0,Defensive rebound by A. Vezenkov,24-40, ,,2,40,24,16,1035.0
6:35.0,D. Fox makes 3-pt jump shot from 26 ft,27-40, ,,2,40,27,13,1045.0
6:17.0, ,27-42,J. Holiday makes 2-pt jump shot from 8 ft,,2,42,27,15,1063.0
6:05.0,D. Fox makes 3-pt jump shot from 25 ft (assist by A. Vezenkov),30-42, ,,2,42,30,12,1075.0
5:54.0, ,30-42,Personal foul by K. Murray (drawn by S. Hauser),,2,42,30,12,1086.0
5:54.0,H. Barnes enters the game for K. Ellis,30-42, ,,2,42,30,12,1086.0
5:54.0,D. Mitchell enters the game for T. Lyles,30-42, ,,2,42,30,12,1086.0
5:54.0,D. Sabonis enters the game for A. Vezenkov,30-42, ,,2,42,30,12,1086.0
5:54.0, ,30-42,K. Porziņģis enters the game for A. Horford,,2,42,30,12,1086.0
5:54.0, ,30-42,J. Tatum enters the game for L. Kornet,,2,42,30,12,1086.0
5:54.0, ,30-42,X. Tillman enters the game for P. Pritchard,,2,42,30,12,1086.0
5:48.0, ,30-44,J. Holiday makes 2-pt hook shot from 12 ft,,2,44,30,14,1092.0
5:35.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by K. Murray),33-44, ,,2,44,33,11,1105.0
5:23.0, ,33-46,K. Porziņģis makes 2-pt jump shot from 15 ft (assist by J. Tatum),,2,46,33,13,1117.0
5:06.0,D. Fox misses 2-pt jump shot from 18 ft,33-46, ,,2,46,33,13,1134.0
5:05.0, ,33-46,Defensive rebound by K. Porziņģis,,2,46,33,13,1135.0
4:50.0, ,33-46,J. Tatum misses 3-pt jump shot from 26 ft,,2,46,33,13,1150.0
4:49.0, ,33-46,Offensive rebound by X. Tillman,,2,46,33,13,1151.0
4:45.0, ,33-49,K. Porziņģis makes 3-pt jump shot from 27 ft (assist by X. Tillman),,2,49,33,16,1155.0
4:29.0,D. Mitchell misses 3-pt jump shot from 26 ft,33-49, ,,2,49,33,16,1171.0
4:27.0, ,33-49,Defensive rebound by J. Holiday,,2,49,33,16,1173.0
4:21.0, ,33-49,J. Holiday misses 3-pt jump shot from 26 ft,,2,49,33,16,1179.0
4:20.0,Defensive rebound by H. Barnes,33-49, ,,2,49,33,16,1180.0
4:06.0,H. Barnes misses 3-pt jump shot from 24 ft,33-49, ,,2,49,33,16,1194.0
4:05.0,Offensive rebound by Team,33-49, ,,2,49,33,16,1195.0
4:05.0, ,33-49,Loose ball foul by K. Porziņģis (drawn by D. Sabonis),,2,49,33,16,1195.0
3:52.0,D. Fox makes 2-pt layup from 6 ft,35-49, ,,2,49,35,14,1208.0
3:35.0, ,35-49,K. Porziņģis misses 2-pt jump shot from 7 ft,,2,49,35,14,1225.0
3:34.0,Defensive rebound by D. Sabonis,35-49, ,,2,49,35,14,1226.0
3:29.0,D. Mitchell makes 2-pt layup from 3 ft (assist by D. Sabonis),37-49, ,,2,49,37,12,1231.0
3:29.0, ,37-49,Boston full timeout,,2,49,37,12,1231.0
3:29.0, ,37-49,P. Pritchard enters the game for S. Hauser,,2,49,37,12,1231.0
3:16.0, ,37-52,P. Pritchard makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),,2,52,37,15,1244.0
3:01.0,D. Fox makes 3-pt jump shot from 26 ft (assist by D. Mitchell),40-52, ,,2,52,40,12,1259.0
2:45.0, ,40-52,J. Tatum misses 3-pt jump shot from 27 ft,,2,52,40,12,1275.0
2:44.0,Defensive rebound by D. Sabonis,40-52, ,,2,52,40,12,1276.0
2:37.0,K. Murray makes 3-pt jump shot from 23 ft (assist by H. Barnes),43-52, ,,2,52,43,9,1283.0
2:09.0, ,43-52,P. Pritchard misses 3-pt jump shot from 29 ft,,2,52,43,9,1311.0
2:07.0,Defensive rebound by K. Murray,43-52, ,,2,52,43,9,1313.0
1:59.0,D. Fox makes 3-pt jump shot from 28 ft (assist by K. Murray),46-52, ,,2,52,46,6,1321.0
1:47.0, ,46-52,Turnover by J. Holiday (out of bounds lost ball),,2,52,46,6,1333.0
1:37.0,D. Sabonis makes 2-pt dunk at rim (assist by D. Mitchell),48-52, ,,2,52,48,4,1343.0
1:18.0, ,48-54,J. Tatum makes 2-pt layup from 2 ft (assist by K. Porziņģis),,2,54,48,6,1362.0
1:04.0,D. Mitchell makes 2-pt layup from 2 ft,50-54, ,,2,54,50,4,1376.0
0:52.0, ,50-54,J. Tatum misses 2-pt layup from 4 ft,,2,54,50,4,1388.0
0:49.0,Defensive rebound by D. Fox,50-54, ,,2,54,50,4,1391.0
0:49.0, ,50-54,S. Hauser enters the game for X. Tillman,,2,54,50,4,1391.0
0:31.0,D. Fox misses 3-pt jump shot from 28 ft,50-54, ,,2,54,50,4,1409.0
0:28.0, ,50-54,Defensive rebound by Team,,2,54,50,4,1412.0
0:28.0,Loose ball foul by D. Sabonis (drawn by J. Tatum),50-54, ,,2,54,50,4,1412.0
0:05.0, ,50-54,S. Hauser misses 3-pt jump shot from 24 ft,,2,54,50,4,1435.0
0:03.0,Defensive rebound by D. Mitchell,50-54, ,,2,54,50,4,1437.0
0:00.0,End of 2nd quarter,50-54,,,2,54,50,4,1440.0
12:00.0,Start of 3rd quarter,50-54,,,3,54,50,4,1440.0
11:43.0,D. Fox misses 2-pt jump shot from 16 ft,50-54, ,,3,54,50,4,1457.0
11:42.0,Offensive rebound by D. Sabonis,50-54, ,,3,54,50,4,1458.0
11:39.0,D. Sabonis misses 2-pt layup from 4 ft (block by A. Horford),50-54, ,,3,54,50,4,1461.0
11:38.0, ,50-54,Defensive rebound by A. Horford,,3,54,50,4,1462.0
11:22.0, ,50-57,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Tatum),,3,57,50,7,1478.0
11:04.0,K. Murray misses 3-pt jump shot from 25 ft,50-57, ,,3,57,50,7,1496.0
11:03.0,Offensive rebound by D. Sabonis,50-57, ,,3,57,50,7,1497.0
11:02.0,Personal foul by P. Pritchard (drawn by D. Sabonis),50-57, ,,3,57,50,7,1498.0
10:49.0,D. Sabonis makes 2-pt layup from 6 ft,52-57, ,,3,57,52,5,1511.0
10:32.0, ,52-60,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Holiday),,3,60,52,8,1528.0
10:17.0,Turnover by D. Sabonis (lost ball; steal by P. Pritchard),52-60, ,,3,60,52,8,1543.0
10:17.0, ,52-60,K. Porziņģis enters the game for P. Pritchard,,3,60,52,8,1543.0
9:58.0, ,52-62,J. Holiday makes 2-pt jump shot from 13 ft,,3,62,52,10,1562.0
9:51.0,H. Barnes misses 3-pt jump shot from 24 ft,52-62, ,,3,62,52,10,1569.0
9:50.0, ,52-62,Defensive rebound by S. Hauser,,3,62,52,10,1570.0
9:35.0, ,52-64,A. Horford makes 2-pt layup from 2 ft (assist by S. Hauser),,3,64,52,12,1585.0
9:34.0,Sacramento full timeout,52-64, ,,3,64,52,12,1586.0
9:25.0,H. Barnes misses 3-pt jump shot from 25 ft,52-64, ,,3,64,52,12,1595.0
9:22.0,Offensive rebound by K. Murray,52-64, ,,3,64,52,12,1598.0
9:13.0,D. Fox misses 2-pt jump shot from 14 ft,52-64, ,,3,64,52,12,1607.0
9:12.0, ,52-64,Defensive rebound by K. Porziņģis,,3,64,52,12,1608.0
9:02.0, ,52-64,Shooting foul by D. Fox (drawn by K. Porziņģis),,3,64,52,12,1618.0
9:02.0, ,52-65,K. Porziņģis makes free throw 1 of 2,,3,65,52,13,1618.0
9:02.0,D. Mitchell enters the game for D. Fox,52-65, ,,3,65,52,13,1618.0
9:02.0, ,52-66,K. Porziņģis makes free throw 2 of 2,,3,66,52,14,1618.0
8:52.0,D. Mitchell misses 2-pt jump shot from 13 ft,52-66, ,,3,66,52,14,1628.0
8:50.0, ,52-66,Defensive rebound by Team,,3,66,52,14,1630.0
