Time,LA Clippers,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:37.0,Defensive rebound by M. Plumlee,70-46, ,,3,46,70,-24,1763.0
6:35.0,T. Mann makes 2-pt dunk from 3 ft (assist by J. Harden),72-46, ,,3,46,72,-26,1765.0
6:34.0, ,72-46,Boston full timeout,,3,46,72,-26,1766.0
6:34.0, ,72-46,S. Hauser enters the game for J. Brown,,3,46,72,-26,1766.0
6:34.0, ,72-46,L. Kornet enters the game for A. Horford,,3,46,72,-26,1766.0
6:34.0, ,72-46,P. Pritchard enters the game for D. White,,3,46,72,-26,1766.0
6:18.0, ,72-46,S. Hauser misses 3-pt jump shot from 26 ft,,3,46,72,-26,1782.0
6:14.0,Defensive rebound by T. Mann,72-46, ,,3,46,72,-26,1786.0
5:58.0,K. Leonard makes 2-pt dunk from 2 ft (assist by J. Harden),74-46, ,,3,46,74,-28,1802.0
5:44.0, ,74-46,L. Kornet misses 2-pt dunk from 3 ft (block by K. Leonard),,3,46,74,-28,1816.0
5:41.0,Defensive rebound by K. Leonard,74-46, ,,3,46,74,-28,1819.0
5:32.0,Personal foul by L. Kornet (drawn by K. Leonard),74-46, ,,3,46,74,-28,1828.0
5:17.0,K. Leonard misses 2-pt jump shot from 20 ft,74-46, ,,3,46,74,-28,1843.0
5:16.0, ,74-46,Defensive rebound by P. Pritchard,,3,46,74,-28,1844.0
5:10.0, ,74-46,Turnover by J. Holiday (bad pass),,3,46,74,-28,1850.0
4:54.0,Shooting foul by S. Hauser (drawn by K. Leonard),74-46, ,,3,46,74,-28,1866.0
4:54.0,K. Leonard makes free throw 1 of 2,75-46, ,,3,46,75,-29,1866.0
4:54.0,K. Leonard makes free throw 2 of 2,76-46, ,,3,46,76,-30,1866.0
4:35.0, ,76-46,Personal foul by T. Mann (drawn by S. Hauser),,3,46,76,-30,1885.0
