Time,Boston,Score,Sacramento,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:40.0,S. Mykhailiuk misses 3-pt jump shot from 25 ft,46-46, ,,2,46,46,0,920.0
8:37.0,Offensive rebound by J. Holiday,46-46, ,,2,46,46,0,923.0
8:33.0,P. Pritchard misses 3-pt jump shot from 27 ft,46-46, ,,2,46,46,0,927.0
8:29.0,Offensive rebound by S. Mykhailiuk,46-46, ,,2,46,46,0,931.0
8:26.0,P. Pritchard makes 3-pt jump shot from 25 ft (assist by S. Mykhailiuk),49-46, ,,2,49,46,3,934.0
8:09.0, ,49-49,D. Fox makes 3-pt jump shot from 26 ft,Tie,2,49,49,0,951.0
7:48.0,N. Queta makes 2-pt layup from 1 ft (assist by J. Holiday),51-49, ,,2,51,49,2,972.0
7:47.0, ,51-49,Sacramento full timeout,,2,51,49,2,973.0
7:47.0,J. Brown enters the game for S. Mykhailiuk,51-49, ,,2,51,49,2,973.0
7:47.0,K. Porziņģis enters the game for N. Queta,51-49, ,,2,51,49,2,973.0
7:47.0, ,51-49,K. Ellis enters the game for D. Fox,,2,51,49,2,973.0
7:47.0, ,51-49,K. Huerter enters the game for M. Monk,,2,51,49,2,973.0
7:47.0, ,51-49,D. Sabonis enters the game for A. Vezenkov,,2,51,49,2,973.0
7:28.0, ,51-49,D. Sabonis misses 2-pt layup from 3 ft (block by K. Porziņģis),,2,51,49,2,992.0
7:23.0,Defensive rebound by S. Hauser,51-49, ,,2,51,49,2,997.0
7:21.0,Shooting foul by T. Lyles (drawn by J. Brown),51-49, ,,2,51,49,2,999.0
7:21.0,J. Brown misses free throw 1 of 2,51-49, ,,2,51,49,2,999.0
7:21.0,Offensive rebound by Team,51-49, ,,2,51,49,2,999.0
7:21.0,J. Brown makes free throw 2 of 2,52-49, ,,2,52,49,3,999.0
7:03.0, ,52-49,K. Ellis misses 3-pt jump shot from 26 ft,,2,52,49,3,1017.0
7:00.0,Defensive rebound by K. Porziņģis,52-49, ,,2,52,49,3,1020.0
6:48.0,Turnover by J. Holiday (bad pass),52-49, ,,2,52,49,3,1032.0
6:48.0, ,52-49,K. Murray enters the game for T. Lyles,,2,52,49,3,1032.0
6:31.0, ,52-49,Turnover by K. Murray (bad pass; steal by J. Holiday),,2,52,49,3,1049.0
6:29.0,J. Holiday makes 2-pt layup from 1 ft,54-49, ,,2,54,49,5,1051.0
