Time,Golden State,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:24.0, ,46-95,J. Tatum misses 3-pt jump shot from 27 ft,,3,95,46,49,1656.0
8:22.0, ,46-95,Offensive rebound by Team,,3,95,46,49,1658.0
8:17.0, ,46-97,J. Brown makes 2-pt layup from 1 ft,,3,97,46,51,1663.0
8:06.0,M. Moody misses 3-pt jump shot from 27 ft,46-97, ,,3,97,46,51,1674.0
8:05.0,Offensive rebound by T. Jackson-Davis,46-97, ,,3,97,46,51,1675.0
7:53.0,L. Quinones misses 3-pt jump shot from 33 ft,46-97, ,,3,97,46,51,1687.0
7:51.0,Offensive rebound by T. Jackson-Davis,46-97, ,,3,97,46,51,1689.0
7:50.0,T. Jackson-Davis makes 2-pt layup from 3 ft,48-97, ,,3,97,48,49,1690.0
7:33.0, ,48-99,A. Horford makes 2-pt hook shot from 3 ft (assist by J. Brown),,3,99,48,51,1707.0
7:21.0,J. Kuminga misses 3-pt jump shot from 26 ft,48-99, ,,3,99,48,51,1719.0
7:20.0,Offensive rebound by L. Quinones,48-99, ,,3,99,48,51,1720.0
7:20.0,L. Quinones misses 2-pt layup from 4 ft,48-99, ,,3,99,48,51,1720.0
7:18.0, ,48-99,Defensive rebound by D. White,,3,99,48,51,1722.0
7:16.0, ,48-99,Boston full timeout,,3,99,48,51,1724.0
7:16.0,G. Santos enters the game for T. Jackson-Davis,48-99, ,,3,99,48,51,1724.0
7:16.0,D. Šarić enters the game for J. Kuminga,48-99, ,,3,99,48,51,1724.0
7:16.0, ,48-99,O. Brissett enters the game for J. Brown,,3,99,48,51,1724.0
7:16.0, ,48-99,S. Hauser enters the game for J. Holiday,,3,99,48,51,1724.0
7:16.0, ,48-99,L. Kornet enters the game for A. Horford,,3,99,48,51,1724.0
7:16.0, ,48-99,S. Mykhailiuk enters the game for J. Tatum,,3,99,48,51,1724.0
7:16.0, ,48-99,P. Pritchard enters the game for D. White,,3,99,48,51,1724.0
6:54.0, ,48-99,Turnover by P. Pritchard (bad pass; steal by C. Paul),,3,99,48,51,1746.0
6:41.0,M. Moody makes 2-pt dunk from 2 ft (assist by C. Paul),50-99, ,,3,99,50,49,1759.0
6:21.0, ,50-99,S. Hauser misses 3-pt jump shot from 25 ft,,3,99,50,49,1779.0
