Time,San Antonio,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:52.0, ,49-77,J. Tatum makes 2-pt jump shot from 7 ft,,3,77,49,28,1628.0
8:50.0, ,49-77,Violation by Team (delay of game),,3,77,49,28,1630.0
8:32.0,V. Wembanyama makes 2-pt jump shot from 12 ft,51-77, ,,3,77,51,26,1648.0
8:25.0, ,51-77,Personal foul by D. Vassell (drawn by J. Brown),,3,77,51,26,1655.0
8:20.0, ,51-77,L. Kornet misses 2-pt layup from 4 ft,,3,77,51,26,1660.0
8:17.0,Defensive rebound by T. Jones,51-77, ,,3,77,51,26,1663.0
8:15.0,J. Champagnie makes 2-pt dunk from 5 ft (assist by T. Jones),53-77, ,,3,77,53,24,1665.0
8:00.0, ,53-77,Personal foul by J. Champagnie (drawn by J. Tatum),,3,77,53,24,1680.0
8:00.0, ,53-77,Turnover by J. Tatum (bad pass),,3,77,53,24,1680.0
7:45.0,D. Vassell makes 2-pt layup from 3 ft,55-77, ,,3,77,55,22,1695.0
7:45.0,Shooting foul by L. Kornet (drawn by D. Vassell),55-77, ,,3,77,55,22,1695.0
7:45.0,D. Vassell makes free throw 1 of 1,56-77, ,,3,77,56,21,1695.0
7:28.0, ,56-79,J. Brown makes 2-pt layup from 4 ft,,3,79,56,23,1712.0
7:13.0,J. Champagnie makes 3-pt jump shot from 27 ft (assist by D. Vassell),59-79, ,,3,79,59,20,1727.0
6:48.0, ,59-79,J. Tatum misses 2-pt jump shot from 15 ft,,3,79,59,20,1752.0
6:44.0,Defensive rebound by V. Wembanyama,59-79, ,,3,79,59,20,1756.0
6:39.0,Turnover by V. Wembanyama (lost ball; steal by L. Kornet),59-79, ,,3,79,59,20,1761.0
6:33.0, ,59-81,J. Brown makes 2-pt layup from 1 ft (assist by J. Holiday),,3,81,59,22,1767.0
6:33.0,San Antonio full timeout,59-81, ,,3,81,59,22,1767.0
6:33.0,D. Barlow enters the game for V. Wembanyama,59-81, ,,3,81,59,22,1767.0
6:19.0,D. Vassell misses 3-pt jump shot from 26 ft,59-81, ,,3,81,59,22,1781.0
6:17.0,Offensive rebound by Team,59-81, ,,3,81,59,22,1783.0
6:17.0, ,59-81,Loose ball foul by J. Brown (drawn by J. Champagnie),,3,81,59,22,1783.0
6:04.0,D. Vassell makes 2-pt layup from 4 ft (assist by T. Jones),61-81, ,,3,81,61,20,1796.0
5:54.0, ,61-81,J. Tatum misses 2-pt layup from 2 ft,,3,81,61,20,1806.0
5:51.0,Defensive rebound by J. Champagnie,61-81, ,,3,81,61,20,1809.0
5:41.0,D. Barlow makes 3-pt jump shot from 24 ft (assist by T. Jones),64-81, ,,3,81,64,17,1819.0
5:21.0, ,64-81,J. Holiday misses 3-pt jump shot from 23 ft,,3,81,64,17,1839.0
5:18.0,Defensive rebound by J. Champagnie,64-81, ,,3,81,64,17,1842.0
5:12.0,T. Jones misses 2-pt layup from 4 ft (block by L. Kornet),64-81, ,,3,81,64,17,1848.0
