Time,Boston,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:36.0,Defensive rebound by X. Tillman,49-33, ,,2,49,33,16,804.0
10:31.0,Turnover by D. White (off goaltending),49-33, ,,2,49,33,16,809.0
10:09.0, ,49-35,J. Clarkson makes 2-pt jump shot from 17 ft,,2,49,35,14,831.0
9:53.0,D. White makes 3-pt jump shot from 24 ft (assist by L. Kornet),52-35, ,,2,52,35,17,847.0
9:38.0, ,52-35,J. Clarkson misses 2-pt jump shot from 5 ft (block by D. White),,2,52,35,17,862.0
9:38.0,Defensive rebound by D. White,52-35, ,,2,52,35,17,862.0
9:32.0,Turnover by D. White (bad pass; steal by T. Horton-Tucker),52-35, ,,2,52,35,17,868.0
9:28.0, ,52-37,J. Clarkson makes 2-pt dunk from 4 ft (assist by K. Dunn),,2,52,37,15,872.0
9:13.0,D. White misses 2-pt jump shot from 11 ft,52-37, ,,2,52,37,15,887.0
9:11.0, ,52-37,Defensive rebound by W. Kessler,,2,52,37,15,889.0
9:02.0, ,52-40,M. Potter makes 3-pt jump shot from 24 ft (assist by W. Kessler),,2,52,40,12,898.0
8:40.0,Turnover by D. White (bad pass; steal by J. Clarkson),52-40, ,,2,52,40,12,920.0
8:21.0, ,52-42,M. Potter makes 2-pt dunk from 4 ft (assist by K. Dunn),,2,52,42,10,939.0
8:20.0,Boston full timeout,52-42, ,,2,52,42,10,940.0
8:20.0,O. Brissett enters the game for X. Tillman,52-42, ,,2,52,42,10,940.0
8:20.0, ,52-42,B. Sensabaugh enters the game for K. Dunn,,2,52,42,10,940.0
8:10.0,P. Pritchard misses 3-pt jump shot from 25 ft,52-42, ,,2,52,42,10,950.0
8:06.0, ,52-42,Defensive rebound by W. Kessler,,2,52,42,10,954.0
7:49.0, ,52-44,J. Clarkson makes 2-pt jump shot from 10 ft (assist by B. Sensabaugh),,2,52,44,8,971.0
7:26.0,Shooting foul by B. Sensabaugh (drawn by L. Kornet),52-44, ,,2,52,44,8,994.0
7:26.0,L. Kornet makes free throw 1 of 2,53-44, ,,2,53,44,9,994.0
7:26.0,J. Holiday enters the game for P. Pritchard,53-44, ,,2,53,44,9,994.0
7:26.0,L. Kornet makes free throw 2 of 2,54-44, ,,2,54,44,10,994.0
