Time,Boston,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:52.0, ,52-48,J. Kuminga makes 2-pt dunk from 3 ft (assist by B. Podziemski),,2,52,48,4,1088.0
5:34.0,Shooting foul by S. Curry (drawn by A. Horford),52-48, ,,2,52,48,4,1106.0
5:34.0,A. Horford makes free throw 1 of 2,53-48, ,,2,53,48,5,1106.0
5:34.0,A. Horford makes free throw 2 of 2,54-48, ,,2,54,48,6,1106.0
5:26.0, ,54-48,Turnover by S. Curry (bad pass),,2,54,48,6,1114.0
5:19.0,J. Tatum misses 3-pt jump shot from 29 ft,54-48, ,,2,54,48,6,1121.0
5:14.0, ,54-48,Defensive rebound by B. Podziemski,,2,54,48,6,1126.0
5:07.0, ,54-48,K. Thompson misses 2-pt jump shot from 12 ft,,2,54,48,6,1133.0
5:05.0, ,54-48,Offensive rebound by J. Kuminga,,2,54,48,6,1135.0
5:03.0, ,54-50,J. Kuminga makes 2-pt layup at rim,,2,54,50,4,1137.0
4:46.0,J. Brown misses 2-pt layup from 7 ft (block by T. Jackson-Davis),54-50, ,,2,54,50,4,1154.0
4:44.0, ,54-50,Defensive rebound by T. Jackson-Davis,,2,54,50,4,1156.0
4:42.0, ,54-50,Shooting foul by J. Holiday (drawn by S. Curry),,2,54,50,4,1158.0
4:42.0, ,54-51,S. Curry makes free throw 1 of 2,,2,54,51,3,1158.0
4:42.0,P. Pritchard enters the game for J. Holiday,54-51, ,,2,54,51,3,1158.0
4:42.0, ,54-51,C. Paul enters the game for B. Podziemski,,2,54,51,3,1158.0
4:42.0, ,54-52,S. Curry makes free throw 2 of 2,,2,54,52,2,1158.0
4:27.0,P. Pritchard misses 3-pt jump shot from 23 ft,54-52, ,,2,54,52,2,1173.0
4:25.0,Offensive rebound by D. White,54-52, ,,2,54,52,2,1175.0
4:22.0,D. White misses 2-pt layup at rim,54-52, ,,2,54,52,2,1178.0
4:21.0, ,54-52,Defensive rebound by J. Kuminga,,2,54,52,2,1179.0
4:14.0, ,54-54,J. Kuminga makes 2-pt hook shot from 5 ft (assist by C. Paul),Tie,2,54,54,0,1186.0
4:14.0,Boston full timeout,54-54, ,,2,54,54,0,1186.0
3:58.0,D. White misses 3-pt jump shot from 26 ft,54-54, ,,2,54,54,0,1202.0
3:54.0, ,54-54,Defensive rebound by J. Kuminga,,2,54,54,0,1206.0
3:36.0, ,54-56,T. Jackson-Davis makes 2-pt layup from 4 ft (assist by C. Paul),Lead change,2,54,56,-2,1224.0
3:16.0,J. Tatum misses 3-pt jump shot from 29 ft,54-56, ,,2,54,56,-2,1244.0
3:14.0, ,54-56,Defensive rebound by C. Paul,,2,54,56,-2,1246.0
3:08.0, ,54-56,J. Kuminga misses 2-pt layup from 7 ft,,2,54,56,-2,1252.0
3:04.0,Defensive rebound by J. Tatum,54-56, ,,2,54,56,-2,1256.0
3:02.0,A. Horford makes 3-pt jump shot from 24 ft (assist by J. Tatum),57-56, ,Lead change,2,57,56,1,1258.0
2:45.0, ,57-59,S. Curry makes 3-pt jump shot from 28 ft,Lead change,2,57,59,-2,1275.0
2:28.0,J. Brown makes 2-pt layup from 5 ft,59-59, ,Tie,2,59,59,0,1292.0
2:28.0,Shooting foul by T. Jackson-Davis (drawn by J. Brown),59-59, ,,2,59,59,0,1292.0
2:28.0,N. Queta enters the game for P. Pritchard,59-59, ,,2,59,59,0,1292.0
2:28.0,J. Brown makes free throw 1 of 1,60-59, ,Lead change,2,60,59,1,1292.0
2:13.0,Loose ball foul by D. White (drawn by T. Jackson-Davis),60-59, ,,2,60,59,1,1307.0
