Time,New Orleans,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:29.0, ,46-32,Offensive rebound by O. Brissett,,2,32,46,-14,991.0
7:27.0, ,46-32,S. Hauser misses 3-pt jump shot from 27 ft,,2,32,46,-14,993.0
7:26.0,Defensive rebound by J. Hawkins,46-32, ,,2,32,46,-14,994.0
7:13.0,J. Hawkins misses 3-pt jump shot from 23 ft,46-32, ,,2,32,46,-14,1007.0
7:11.0, ,46-32,Defensive rebound by O. Brissett,,2,32,46,-14,1009.0
6:59.0, ,46-32,O. Brissett misses 3-pt jump shot from 26 ft,,2,32,46,-14,1021.0
6:57.0,Defensive rebound by Z. Williamson,46-32, ,,2,32,46,-14,1023.0
6:49.0,C. McCollum misses 3-pt jump shot from 25 ft,46-32, ,,2,32,46,-14,1031.0
6:47.0, ,46-32,Defensive rebound by J. Holiday,,2,32,46,-14,1033.0
6:41.0, ,46-34,J. Holiday makes 2-pt layup from 3 ft,,2,34,46,-12,1039.0
6:27.0,C. McCollum misses 2-pt jump shot from 8 ft,46-34, ,,2,34,46,-12,1053.0
6:25.0, ,46-34,Defensive rebound by A. Horford,,2,34,46,-12,1055.0
6:07.0, ,46-37,J. Holiday makes 3-pt jump shot from 22 ft (assist by J. Tatum),,2,37,46,-9,1073.0
6:05.0,New Orleans full timeout,46-37, ,,2,37,46,-9,1075.0
6:05.0,D. Daniels enters the game for J. Hawkins,46-37, ,,2,37,46,-9,1075.0
6:05.0,B. Ingram enters the game for N. Marshall,46-37, ,,2,37,46,-9,1075.0
6:05.0,H. Jones enters the game for C. McCollum,46-37, ,,2,37,46,-9,1075.0
6:05.0,T. Murphy enters the game for J. Valančiūnas,46-37, ,,2,37,46,-9,1075.0
6:05.0,L. Nance enters the game for Z. Williamson,46-37, ,,2,37,46,-9,1075.0
6:05.0, ,46-37,J. Brown enters the game for S. Hauser,,2,37,46,-9,1075.0
6:05.0, ,46-37,D. White enters the game for J. Holiday,,2,37,46,-9,1075.0
5:48.0,B. Ingram misses 2-pt jump shot from 15 ft,46-37, ,,2,37,46,-9,1092.0
5:45.0, ,46-37,Defensive rebound by J. Tatum,,2,37,46,-9,1095.0
