Time,Orlando,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:46.0, ,51-64,J. Brown misses 3-pt jump shot from 27 ft,,3,64,51,13,1454.0
11:44.0,Defensive rebound by F. Wagner,51-64, ,,3,64,51,13,1456.0
11:22.0,P. Banchero misses 3-pt jump shot from 28 ft,51-64, ,,3,64,51,13,1478.0
11:20.0, ,51-64,Defensive rebound by J. Holiday,,3,64,51,13,1480.0
11:08.0, ,51-64,Personal foul by A. Black (drawn by D. White),,3,64,51,13,1492.0
11:06.0, ,51-64,Turnover by D. White (back court),,3,64,51,13,1494.0
10:57.0,G. Bitadze makes 2-pt layup from 4 ft (assist by P. Banchero),53-64, ,,3,64,53,11,1503.0
10:41.0, ,53-64,J. Holiday misses 2-pt jump shot from 22 ft,,3,64,53,11,1519.0
10:40.0, ,53-64,Offensive rebound by L. Stevens,,3,64,53,11,1520.0
10:40.0, ,53-64,L. Stevens misses 2-pt layup at rim,,3,64,53,11,1520.0
10:40.0, ,53-64,Offensive rebound by Team,,3,64,53,11,1520.0
10:40.0,Loose ball foul by F. Wagner (drawn by L. Stevens),53-64, ,,3,64,53,11,1520.0
10:27.0, ,53-66,J. Brown makes 2-pt jump shot from 19 ft,,3,66,53,13,1533.0
10:05.0,P. Banchero makes 2-pt layup from 5 ft,55-66, ,,3,66,55,11,1555.0
9:54.0, ,55-66,Shooting foul by P. Banchero (drawn by J. Tatum),,3,66,55,11,1566.0
9:54.0, ,55-67,J. Tatum makes free throw 1 of 2,,3,67,55,12,1566.0
9:54.0, ,55-68,J. Tatum makes free throw 2 of 2,,3,68,55,13,1566.0
9:42.0,F. Wagner misses 2-pt layup from 6 ft,55-68, ,,3,68,55,13,1578.0
9:38.0, ,55-68,Defensive rebound by L. Stevens,,3,68,55,13,1582.0
9:38.0, ,55-68,Personal foul by G. Harris (drawn by J. Brown),,3,68,55,13,1582.0
9:34.0, ,55-68,J. Brown misses 2-pt jump shot from 13 ft,,3,68,55,13,1586.0
9:30.0,Defensive rebound by G. Bitadze,55-68, ,,3,68,55,13,1590.0
9:21.0,Shooting foul by L. Stevens (drawn by P. Banchero),55-68, ,,3,68,55,13,1599.0
9:21.0,P. Banchero misses free throw 1 of 2,55-68, ,,3,68,55,13,1599.0
9:21.0,Offensive rebound by Team,55-68, ,,3,68,55,13,1599.0
9:21.0,P. Banchero makes free throw 2 of 2,56-68, ,,3,68,56,12,1599.0
9:07.0, ,56-70,D. White makes 2-pt jump shot from 12 ft,,3,70,56,14,1613.0
8:48.0,Turnover by F. Wagner (bad pass; steal by L. Stevens),56-70, ,,3,70,56,14,1632.0
8:30.0, ,56-70,J. Tatum misses 2-pt jump shot from 19 ft,,3,70,56,14,1650.0
8:27.0,Defensive rebound by G. Bitadze,56-70, ,,3,70,56,14,1653.0
8:21.0,G. Harris misses 3-pt jump shot from 25 ft,56-70, ,,3,70,56,14,1659.0
8:18.0,Offensive rebound by Team,56-70, ,,3,70,56,14,1662.0
8:17.0,Personal foul by J. Tatum (drawn by G. Bitadze),56-70, ,,3,70,56,14,1663.0
8:13.0,Turnover by G. Bitadze (bad pass; steal by L. Stevens),56-70, ,,3,70,56,14,1667.0
8:08.0, ,56-70,Turnover by L. Stevens (lost ball; steal by F. Wagner),,3,70,56,14,1672.0
8:03.0,P. Banchero misses 2-pt layup from 4 ft,56-70, ,,3,70,56,14,1677.0
8:00.0,Offensive rebound by G. Bitadze,56-70, ,,3,70,56,14,1680.0
8:00.0,G. Bitadze makes 2-pt layup at rim,58-70, ,,3,70,58,12,1680.0
7:53.0, ,58-73,D. White makes 3-pt jump shot from 29 ft,,3,73,58,15,1687.0
7:44.0,Offensive foul by F. Wagner (drawn by J. Brown),58-73, ,,3,73,58,15,1696.0
7:44.0,Turnover by F. Wagner (offensive foul),58-73, ,,3,73,58,15,1696.0
7:20.0, ,58-76,L. Stevens makes 3-pt jump shot from 24 ft (assist by J. Tatum),,3,76,58,18,1720.0
7:19.0,Orlando full timeout,58-76, ,,3,76,58,18,1721.0
7:07.0,Turnover by F. Wagner (lost ball),58-76, ,,3,76,58,18,1733.0
7:07.0, ,58-76,Boston full timeout,,3,76,58,18,1733.0
7:07.0, ,58-76,Instant Replay (Challenge: Ruling Stands),,3,76,58,18,1733.0
6:49.0, ,58-76,J. Brown misses 3-pt jump shot from 27 ft,,3,76,58,18,1751.0
6:46.0,Defensive rebound by G. Bitadze,58-76, ,,3,76,58,18,1754.0
6:45.0,Turnover by G. Bitadze (lost ball; steal by D. White),58-76, ,,3,76,58,18,1755.0
6:42.0, ,58-79,D. White makes 3-pt jump shot from 23 ft,,3,79,58,21,1758.0
6:20.0,F. Wagner makes 3-pt jump shot from 26 ft (assist by G. Bitadze),61-79, ,,3,79,61,18,1780.0
6:03.0, ,61-79,J. Tatum misses 3-pt jump shot from 27 ft,,3,79,61,18,1797.0
6:01.0,Defensive rebound by F. Wagner,61-79, ,,3,79,61,18,1799.0
5:55.0,A. Black misses 3-pt jump shot from 23 ft,61-79, ,,3,79,61,18,1805.0
5:54.0, ,61-79,Defensive rebound by Team,,3,79,61,18,1806.0
5:54.0,Loose ball foul by G. Harris (drawn by J. Tatum),61-79, ,,3,79,61,18,1806.0
5:54.0,C. Houstan enters the game for F. Wagner,61-79, ,,3,79,61,18,1806.0
5:54.0, ,61-79,N. Queta enters the game for L. Stevens,,3,79,61,18,1806.0
5:54.0, ,61-79,J. Tatum misses free throw 1 of 2,,3,79,61,18,1806.0
5:54.0, ,61-79,Offensive rebound by Team,,3,79,61,18,1806.0
5:54.0, ,61-79,P. Pritchard enters the game for D. White,,3,79,61,18,1806.0
5:54.0, ,61-80,J. Tatum makes free throw 2 of 2,,3,80,61,19,1806.0
5:39.0,P. Banchero misses 2-pt layup from 18 ft (block by J. Holiday),61-80, ,,3,80,61,19,1821.0
5:36.0,Offensive rebound by G. Bitadze,61-80, ,,3,80,61,19,1824.0
5:35.0,G. Bitadze makes 2-pt layup from 2 ft,63-80, ,,3,80,63,17,1825.0
5:30.0, ,63-80,Turnover by J. Brown (lost ball; steal by G. Harris),,3,80,63,17,1830.0
5:25.0,P. Banchero misses 2-pt layup from 3 ft,63-80, ,,3,80,63,17,1835.0
5:25.0,Offensive rebound by G. Bitadze,63-80, ,,3,80,63,17,1835.0
5:24.0,G. Bitadze misses 2-pt layup from 1 ft,63-80, ,,3,80,63,17,1836.0
5:24.0,Offensive rebound by A. Black,63-80, ,,3,80,63,17,1836.0
5:22.0,A. Black makes 2-pt layup at rim,65-80, ,,3,80,65,15,1838.0
5:03.0, ,65-82,J. Brown makes 2-pt layup from 5 ft,,3,82,65,17,1857.0
4:55.0,C. Houstan misses 3-pt jump shot from 24 ft,65-82, ,,3,82,65,17,1865.0
4:55.0,Offensive rebound by Team,65-82, ,,3,82,65,17,1865.0
4:55.0, ,65-82,Loose ball foul by P. Pritchard (drawn by A. Black),,3,82,65,17,1865.0
4:55.0,C. Anthony enters the game for G. Harris,65-82, ,,3,82,65,17,1865.0
4:55.0, ,65-82,S. Hauser enters the game for J. Tatum,,3,82,65,17,1865.0
4:46.0,P. Banchero misses 2-pt layup from 6 ft,65-82, ,,3,82,65,17,1874.0
4:46.0,Offensive rebound by Team,65-82, ,,3,82,65,17,1874.0
4:43.0,P. Banchero misses 3-pt jump shot from 24 ft,65-82, ,,3,82,65,17,1877.0
4:40.0,Offensive rebound by A. Black,65-82, ,,3,82,65,17,1880.0
4:33.0,Turnover by C. Anthony (bad pass; steal by S. Hauser),65-82, ,,3,82,65,17,1887.0
4:24.0, ,65-85,P. Pritchard makes 3-pt jump shot from 24 ft (assist by S. Hauser),,3,85,65,20,1896.0
4:02.0,A. Black misses 3-pt jump shot from 23 ft,65-85, ,,3,85,65,20,1918.0
4:01.0,Offensive rebound by Team,65-85, ,,3,85,65,20,1919.0
4:01.0, ,65-85,Loose ball foul by N. Queta (drawn by G. Bitadze),,3,85,65,20,1919.0
4:01.0,J. Suggs enters the game for G. Bitadze,65-85, ,,3,85,65,20,1919.0
4:01.0,M. Wagner enters the game for A. Black,65-85, ,,3,85,65,20,1919.0
