Time,Oklahoma City,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:39.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by C. Wallace),58-65, ,,3,65,58,7,1581.0
9:37.0, ,58-65,Boston full timeout,,3,65,58,7,1583.0
9:21.0, ,58-65,J. Brown misses 3-pt jump shot from 24 ft,,3,65,58,7,1599.0
9:19.0, ,58-65,Offensive rebound by J. Holiday,,3,65,58,7,1601.0
9:05.0, ,58-65,J. Brown misses 2-pt layup from 5 ft,,3,65,58,7,1615.0
9:04.0,Defensive rebound by C. Holmgren,58-65, ,,3,65,58,7,1616.0
8:48.0,C. Wallace misses 3-pt jump shot from 25 ft,58-65, ,,3,65,58,7,1632.0
8:44.0, ,58-65,Defensive rebound by J. Holiday,,3,65,58,7,1636.0
8:39.0, ,58-65,J. Holiday misses 3-pt jump shot from 27 ft,,3,65,58,7,1641.0
8:38.0,Defensive rebound by C. Holmgren,58-65, ,,3,65,58,7,1642.0
8:31.0,Personal foul by K. Porziņģis (drawn by C. Holmgren),58-65, ,,3,65,58,7,1649.0
8:31.0, ,58-65,A. Horford enters the game for J. Brown,,3,65,58,7,1649.0
8:31.0, ,58-65,P. Pritchard enters the game for K. Porziņģis,,3,65,58,7,1649.0
8:26.0,L. Dort misses 3-pt jump shot from 26 ft,58-65, ,,3,65,58,7,1654.0
8:24.0, ,58-65,Defensive rebound by J. Holiday,,3,65,58,7,1656.0
8:01.0, ,58-67,A. Horford makes 2-pt hook shot from 9 ft (assist by P. Pritchard),,3,67,58,9,1679.0
7:46.0,Shooting foul by J. Tatum (drawn by C. Holmgren),58-67, ,,3,67,58,9,1694.0
7:46.0,C. Holmgren misses free throw 1 of 2,58-67, ,,3,67,58,9,1694.0
7:46.0,Offensive rebound by Team,58-67, ,,3,67,58,9,1694.0
7:46.0,C. Holmgren makes free throw 2 of 2,59-67, ,,3,67,59,8,1694.0
7:30.0, ,59-67,J. Tatum misses 2-pt layup from 4 ft,,3,67,59,8,1710.0
7:29.0, ,59-67,Offensive rebound by J. Tatum,,3,67,59,8,1711.0
7:29.0, ,59-69,J. Tatum makes 2-pt layup at rim,,3,69,59,10,1711.0
7:16.0,C. Holmgren makes 2-pt dunk at rim (assist by A. Wiggins),61-69, ,,3,69,61,8,1724.0
6:54.0, ,61-71,J. Tatum makes 2-pt jump shot from 19 ft,,3,71,61,10,1746.0
6:44.0,L. Dort makes 2-pt layup from 1 ft,63-71, ,,3,71,63,8,1756.0
6:44.0,Shooting foul by D. White (drawn by L. Dort),63-71, ,,3,71,63,8,1756.0
6:44.0,L. Dort makes free throw 1 of 1,64-71, ,,3,71,64,7,1756.0
6:28.0, ,64-74,A. Horford makes 3-pt jump shot from 26 ft (assist by P. Pritchard),,3,74,64,10,1772.0
6:15.0,C. Wallace misses 2-pt layup from 4 ft (block by J. Holiday),64-74, ,,3,74,64,10,1785.0
6:14.0,Offensive rebound by Team,64-74, ,,3,74,64,10,1786.0
6:14.0,I. Joe enters the game for A. Wiggins,64-74, ,,3,74,64,10,1786.0
6:14.0, ,64-74,S. Hauser enters the game for D. White,,3,74,64,10,1786.0
6:13.0,Shooting foul by S. Hauser (drawn by C. Wallace),64-74, ,,3,74,64,10,1787.0
