Time,Boston,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:11.0, ,61-62,Shooting foul by J. Holiday (drawn by A. Edwards),,3,61,62,-1,1609.0
9:11.0, ,61-63,A. Edwards makes free throw 1 of 1,,3,61,63,-2,1609.0
8:52.0,J. Holiday makes 2-pt layup from 6 ft (assist by J. Tatum),63-63, ,Tie,3,63,63,0,1628.0
8:37.0, ,63-63,J. McDaniels misses 3-pt jump shot from 23 ft,,3,63,63,0,1643.0
8:34.0,Defensive rebound by J. Tatum,63-63, ,,3,63,63,0,1646.0
8:27.0,J. Tatum misses 2-pt layup from 3 ft,63-63, ,,3,63,63,0,1653.0
8:25.0, ,63-63,Defensive rebound by K. Towns,,3,63,63,0,1655.0
8:14.0, ,63-65,A. Edwards makes 2-pt jump shot from 12 ft,,3,63,65,-2,1666.0
7:55.0,J. Holiday misses 2-pt hook shot from 5 ft,63-65, ,,3,63,65,-2,1685.0
7:52.0, ,63-65,Defensive rebound by K. Towns,,3,63,65,-2,1688.0
7:38.0, ,63-65,Shooting foul by J. Brown (drawn by A. Edwards),,3,63,65,-2,1702.0
7:38.0, ,63-65,A. Edwards misses free throw 1 of 2,,3,63,65,-2,1702.0
7:38.0, ,63-65,Offensive rebound by Team,,3,63,65,-2,1702.0
7:38.0, ,63-66,A. Edwards makes free throw 2 of 2,,3,63,66,-3,1702.0
7:23.0,J. Tatum makes 3-pt jump shot from 23 ft (assist by J. Brown),66-66, ,Tie,3,66,66,0,1717.0
7:07.0, ,66-66,Shooting foul by K. Porziņģis (drawn by R. Gobert),,3,66,66,0,1733.0
7:07.0, ,66-66,R. Gobert misses free throw 1 of 2,,3,66,66,0,1733.0
7:07.0, ,66-66,Offensive rebound by Team,,3,66,66,0,1733.0
