Time,Boston,Score,Brooklyn,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:10.0,J. Holiday misses 3-pt jump shot from 25 ft,64-52, ,,2,64,52,12,1310.0
2:07.0,Offensive rebound by L. Kornet,64-52, ,,2,64,52,12,1313.0
2:01.0,J. Holiday makes 2-pt hook shot from 5 ft (assist by J. Tatum),66-52, ,,2,66,52,14,1319.0
1:49.0, ,66-52,N. Claxton misses 2-pt layup from 3 ft,,2,66,52,14,1331.0
1:47.0,Defensive rebound by J. Tatum,66-52, ,,2,66,52,14,1333.0
1:44.0,Turnover by J. Holiday (step out of bounds),66-52, ,,2,66,52,14,1336.0
1:44.0, ,66-52,C. Thomas enters the game for M. Bridges,,2,66,52,14,1336.0
1:34.0, ,66-52,Turnover by D. Schröder (bad pass; steal by J. Holiday),,2,66,52,14,1346.0
1:31.0,Shooting foul by D. Finney-Smith (drawn by J. Tatum),66-52, ,,2,66,52,14,1349.0
1:31.0,J. Tatum makes free throw 1 of 2,67-52, ,,2,67,52,15,1349.0
1:31.0,J. Tatum makes free throw 2 of 2,68-52, ,,2,68,52,16,1349.0
1:15.0, ,68-52,Turnover by C. Thomas (lost ball; steal by J. Holiday),,2,68,52,16,1365.0
1:12.0,J. Tatum makes 2-pt dunk from 1 ft,70-52, ,,2,70,52,18,1368.0
1:12.0, ,70-52,Brooklyn full timeout,,2,70,52,18,1368.0
1:12.0, ,70-52,Violation by Team (delay of game),,2,70,52,18,1368.0
1:03.0, ,70-52,L. Walker misses 2-pt dunk from 2 ft,,2,70,52,18,1377.0
0:59.0,Defensive rebound by L. Kornet,70-52, ,,2,70,52,18,1381.0
0:56.0,L. Kornet makes 2-pt dunk from 1 ft (assist by J. Holiday),72-52, ,,2,72,52,20,1384.0
0:43.0, ,72-52,D. Schröder misses 2-pt jump shot from 16 ft,,2,72,52,20,1397.0
0:43.0, ,72-52,Offensive rebound by N. Claxton,,2,72,52,20,1397.0
0:37.0, ,72-52,Shooting foul by D. White (drawn by C. Thomas),,2,72,52,20,1403.0
0:37.0, ,72-53,C. Thomas makes free throw 1 of 2,,2,72,53,19,1403.0
0:37.0, ,72-54,C. Thomas makes free throw 2 of 2,,2,72,54,18,1403.0
0:33.0,J. Brown misses 3-pt jump shot from 24 ft,72-54, ,,2,72,54,18,1407.0
0:30.0, ,72-54,Defensive rebound by D. Finney-Smith,,2,72,54,18,1410.0
0:09.0, ,72-57,C. Thomas makes 3-pt jump shot from 25 ft (assist by L. Walker),,2,72,57,15,1431.0
0:03.0,J. Tatum misses 3-pt jump shot from 27 ft,72-57, ,,2,72,57,15,1437.0
0:03.0, ,72-57,Defensive rebound by L. Walker,,2,72,57,15,1437.0
0:00.0,End of 2nd quarter,72-57,,,2,72,57,15,1440.0
12:00.0,Start of 3rd quarter,72-57,,,3,72,57,15,1440.0
11:45.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by J. Tatum),75-57, ,,3,75,57,18,1455.0
11:29.0, ,75-59,C. Thomas makes 2-pt jump shot from 18 ft (assist by B. Simmons),,3,75,59,16,1471.0
11:17.0,J. Tatum misses 3-pt jump shot from 26 ft,75-59, ,,3,75,59,16,1483.0
11:14.0, ,75-59,Defensive rebound by M. Bridges,,3,75,59,16,1486.0
11:07.0, ,75-62,C. Thomas makes 3-pt jump shot from 25 ft (assist by N. Claxton),,3,75,62,13,1493.0
10:51.0,Turnover by J. Holiday (lost ball; steal by D. Finney-Smith),75-62, ,,3,75,62,13,1509.0
10:41.0, ,75-62,C. Thomas misses 2-pt jump shot from 12 ft,,3,75,62,13,1519.0
10:38.0, ,75-62,Offensive rebound by C. Thomas,,3,75,62,13,1522.0
10:37.0, ,75-62,D. Finney-Smith misses 3-pt jump shot from 25 ft,,3,75,62,13,1523.0
10:34.0, ,75-62,Offensive rebound by B. Simmons,,3,75,62,13,1526.0
10:32.0, ,75-62,C. Thomas misses 2-pt jump shot from 12 ft,,3,75,62,13,1528.0
10:32.0,Defensive rebound by Team,75-62, ,,3,75,62,13,1528.0
10:31.0, ,75-62,Loose ball foul by N. Claxton (drawn by D. White),,3,75,62,13,1529.0
10:25.0,Offensive foul by J. Brown (drawn by M. Bridges),75-62, ,,3,75,62,13,1535.0
10:25.0,Turnover by J. Brown (offensive foul),75-62, ,,3,75,62,13,1535.0
10:12.0, ,75-62,Personal foul by J. Holiday (drawn by D. Finney-Smith),,3,75,62,13,1548.0
10:04.0, ,75-62,Turnover by M. Bridges (lost ball; steal by J. Tatum),,3,75,62,13,1556.0
9:46.0,J. Brown makes 3-pt jump shot from 24 ft (assist by J. Holiday),78-62, ,,3,78,62,16,1574.0
9:36.0, ,78-62,Personal foul by J. Brown (drawn by C. Thomas),,3,78,62,16,1584.0
9:36.0, ,78-62,J. Wilson enters the game for D. Finney-Smith,,3,78,62,16,1584.0
9:21.0, ,78-64,M. Bridges makes 2-pt layup from 2 ft (assist by C. Thomas),,3,78,64,14,1599.0
9:02.0,Personal foul by C. Thomas (drawn by J. Brown),78-64, ,,3,78,64,14,1618.0
8:56.0,Personal foul by C. Thomas (drawn by J. Brown),78-64, ,,3,78,64,14,1624.0
8:49.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Holiday),81-64, ,,3,81,64,17,1631.0
8:35.0, ,81-64,Personal foul by J. Brown (drawn by C. Thomas),,3,81,64,17,1645.0
8:28.0, ,81-64,J. Wilson misses 2-pt jump shot from 5 ft,,3,81,64,17,1652.0
8:24.0,Defensive rebound by J. Holiday,81-64, ,,3,81,64,17,1656.0
8:20.0,J. Brown misses 2-pt layup from 2 ft (block by N. Claxton),81-64, ,,3,81,64,17,1660.0
8:18.0, ,81-64,Defensive rebound by J. Wilson,,3,81,64,17,1662.0
