Time,Philadelphia,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:19.0, ,51-62,J. Brown misses 2-pt layup from 3 ft,,3,62,51,11,1601.0
9:18.0, ,51-62,Offensive rebound by K. Porziņģis,,3,62,51,11,1602.0
9:18.0, ,51-64,K. Porziņģis makes 2-pt dunk at rim,,3,64,51,13,1602.0
8:59.0,T. Maxey makes 2-pt jump shot from 19 ft,53-64, ,,3,64,53,11,1621.0
8:47.0, ,53-64,Personal foul by P. Reed (drawn by K. Porziņģis),,3,64,53,11,1633.0
8:47.0,M. Bamba enters the game for T. Harris,53-64, ,,3,64,53,11,1633.0
8:47.0,N. Batum enters the game for P. Reed,53-64, ,,3,64,53,11,1633.0
8:44.0, ,53-66,K. Porziņģis makes 2-pt dunk from 1 ft (assist by D. White),,3,66,53,13,1636.0
8:16.0,M. Bamba makes 3-pt jump shot from 27 ft (assist by T. Maxey),56-66, ,,3,66,56,10,1664.0
7:59.0, ,56-66,K. Porziņģis misses 2-pt jump shot from 7 ft,,3,66,56,10,1681.0
7:58.0, ,56-66,Offensive rebound by K. Porziņģis,,3,66,56,10,1682.0
7:58.0, ,56-66,K. Porziņģis misses 2-pt layup at rim,,3,66,56,10,1682.0
7:56.0,Defensive rebound by T. Maxey,56-66, ,,3,66,56,10,1684.0
7:46.0,Turnover by B. Hield (bad pass; steal by D. White),56-66, ,,3,66,56,10,1694.0
7:42.0, ,56-66,Shooting foul by B. Hield (drawn by D. White),,3,66,56,10,1698.0
7:42.0, ,56-67,D. White makes free throw 1 of 2,,3,67,56,11,1698.0
7:42.0, ,56-68,D. White makes free throw 2 of 2,,3,68,56,12,1698.0
7:20.0,Turnover by T. Maxey (bad pass; steal by D. White),56-68, ,,3,68,56,12,1720.0
7:02.0, ,56-68,J. Tatum misses 2-pt jump shot from 8 ft,,3,68,56,12,1738.0
7:01.0,Defensive rebound by M. Bamba,56-68, ,,3,68,56,12,1739.0
7:00.0, ,56-68,Technical foul by J. Tatum,,3,68,56,12,1740.0
7:00.0,T. Maxey makes technical free throw,57-68, ,,3,68,57,11,1740.0
6:48.0,T. Maxey makes 3-pt jump shot from 27 ft (assist by K. Oubre),60-68, ,,3,68,60,8,1752.0
6:18.0, ,60-70,J. Brown makes 2-pt layup from 4 ft,,3,70,60,10,1782.0
6:03.0,T. Maxey misses 3-pt jump shot from 28 ft,60-70, ,,3,70,60,10,1797.0
6:02.0,Offensive rebound by M. Bamba,60-70, ,,3,70,60,10,1798.0
6:02.0,M. Bamba makes 2-pt dunk at rim,62-70, ,,3,70,62,8,1798.0
5:48.0, ,62-70,Shooting foul by N. Batum (drawn by K. Porziņģis),,3,70,62,8,1812.0
5:48.0, ,62-71,K. Porziņģis makes free throw 1 of 2,,3,71,62,9,1812.0
5:48.0,K. Lowry enters the game for K. Oubre,62-71, ,,3,71,62,9,1812.0
5:48.0, ,62-71,S. Hauser enters the game for J. Holiday,,3,71,62,9,1812.0
5:48.0, ,62-71,A. Horford enters the game for J. Tatum,,3,71,62,9,1812.0
5:48.0, ,62-72,K. Porziņģis makes free throw 2 of 2,,3,72,62,10,1812.0
5:32.0,T. Maxey makes 2-pt layup from 1 ft,64-72, ,,3,72,64,8,1828.0
5:21.0, ,64-72,Turnover by J. Brown (lost ball; steal by T. Maxey),,3,72,64,8,1839.0
5:19.0,Shooting foul by J. Brown (drawn by T. Maxey),64-72, ,,3,72,64,8,1841.0
5:19.0,T. Maxey makes free throw 1 of 2,65-72, ,,3,72,65,7,1841.0
5:19.0,T. Maxey makes free throw 2 of 2,66-72, ,,3,72,66,6,1841.0
5:09.0, ,66-72,Personal foul by M. Bamba (drawn by K. Porziņģis),,3,72,66,6,1851.0
5:09.0, ,66-73,K. Porziņģis makes free throw 1 of 2,,3,73,66,7,1851.0
5:09.0, ,66-74,K. Porziņģis makes free throw 2 of 2,,3,74,66,8,1851.0
4:51.0,N. Batum misses 3-pt jump shot from 23 ft,66-74, ,,3,74,66,8,1869.0
4:50.0,Offensive rebound by M. Bamba,66-74, ,,3,74,66,8,1870.0
4:47.0,B. Hield misses 3-pt jump shot from 27 ft,66-74, ,,3,74,66,8,1873.0
4:45.0, ,66-74,Defensive rebound by A. Horford,,3,74,66,8,1875.0
4:27.0, ,66-74,D. White misses 3-pt jump shot from 27 ft,,3,74,66,8,1893.0
4:25.0,Defensive rebound by K. Lowry,66-74, ,,3,74,66,8,1895.0
4:20.0,Philadelphia full timeout,66-74, ,,3,74,66,8,1900.0
4:07.0,K. Lowry misses 3-pt jump shot from 28 ft,66-74, ,,3,74,66,8,1913.0
4:06.0, ,66-74,Defensive rebound by D. White,,3,74,66,8,1914.0
3:55.0, ,66-77,S. Hauser makes 3-pt jump shot from 27 ft (assist by D. White),,3,77,66,11,1925.0
3:34.0,B. Hield misses 3-pt jump shot from 28 ft (block by K. Porziņģis),66-77, ,,3,77,66,11,1946.0
3:32.0,Offensive rebound by Team,66-77, ,,3,77,66,11,1948.0
3:32.0,R. Council enters the game for B. Hield,66-77, ,,3,77,66,11,1948.0
3:32.0, ,66-77,J. Holiday enters the game for K. Porziņģis,,3,77,66,11,1948.0
3:28.0,Turnover by Team (shot clock),66-77, ,,3,77,66,11,1952.0
3:11.0, ,66-77,Shooting foul by T. Maxey (drawn by J. Brown),,3,77,66,11,1969.0
3:11.0, ,66-77,J. Brown misses free throw 1 of 2,,3,77,66,11,1969.0
