Time,Boston,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:57.0,Offensive rebound by D. White,85-80, ,,3,85,80,5,2043.0
1:52.0,J. Brown makes 2-pt jump shot from 2 ft (assist by O. Brissett),87-80, ,,3,87,80,7,2048.0
1:39.0, ,87-80,D. Brooks misses 3-pt jump shot from 26 ft,,3,87,80,7,2061.0
1:38.0, ,87-80,Offensive rebound by J. Williams,,3,87,80,7,2062.0
1:33.0, ,87-80,J. Williams misses 2-pt layup from 4 ft,,3,87,80,7,2067.0
1:33.0,Defensive rebound by Team,87-80, ,,3,87,80,7,2067.0
1:33.0, ,87-80,Loose ball foul by J. Tate (drawn by L. Kornet),,3,87,80,7,2067.0
1:08.0,J. Brown misses 2-pt jump shot from 10 ft (block by J. Tate),87-80, ,,3,87,80,7,2092.0
1:05.0, ,87-80,Defensive rebound by A. Sengun,,3,87,80,7,2095.0
0:56.0, ,87-80,A. Sengun misses 2-pt jump shot from 13 ft,,3,87,80,7,2104.0
0:56.0, ,87-80,Offensive rebound by Team,,3,87,80,7,2104.0
0:40.0, ,87-80,D. Brooks misses 3-pt jump shot from 24 ft,,3,87,80,7,2120.0
0:40.0,Defensive rebound by Team,87-80, ,,3,87,80,7,2120.0
0:40.0, ,87-80,Houston full timeout,,3,87,80,7,2120.0
0:40.0, ,87-80,Instant Replay (Challenge: Stands),,3,87,80,7,2120.0
0:40.0, ,87-80,C. Whitmore enters the game for A. Sengun,,3,87,80,7,2120.0
0:31.0,D. White makes 3-pt jump shot from 26 ft,90-80, ,,3,90,80,10,2129.0
0:21.0, ,90-80,J. Williams misses 2-pt jump shot from 21 ft,,3,90,80,10,2139.0
0:19.0,Defensive rebound by O. Brissett,90-80, ,,3,90,80,10,2141.0
0:01.0,J. Brown misses 3-pt jump shot from 23 ft,90-80, ,,3,90,80,10,2159.0
0:01.0, ,90-80,Defensive rebound by C. Whitmore,,3,90,80,10,2159.0
0:00.0,End of 3rd quarter,90-80,,,3,90,80,10,2160.0
12:00.0,Start of 4th quarter,90-80,,,4,90,80,10,2160.0
11:51.0, ,90-80,Personal foul by O. Brissett (drawn by D. Brooks),,4,90,80,10,2169.0
11:44.0, ,90-82,J. Landale makes 2-pt jump shot from 11 ft (assist by A. Holiday),,4,90,82,8,2176.0
11:23.0,S. Hauser misses 3-pt jump shot from 25 ft,90-82, ,,4,90,82,8,2197.0
11:23.0, ,90-82,Defensive rebound by J. Williams,,4,90,82,8,2197.0
11:13.0, ,90-82,J. Williams misses 2-pt jump shot from 12 ft (block by K. Porziņģis),,4,90,82,8,2207.0
11:12.0,Defensive rebound by S. Hauser,90-82, ,,4,90,82,8,2208.0
11:00.0,P. Pritchard makes 3-pt jump shot from 24 ft (assist by S. Hauser),93-82, ,,4,93,82,11,2220.0
10:44.0, ,93-85,C. Whitmore makes 3-pt jump shot from 25 ft (assist by A. Holiday),,4,93,85,8,2236.0
10:20.0,S. Hauser misses 3-pt jump shot from 22 ft,93-85, ,,4,93,85,8,2260.0
10:19.0, ,93-85,Defensive rebound by A. Holiday,,4,93,85,8,2261.0
10:13.0, ,93-88,D. Brooks makes 3-pt jump shot from 25 ft (assist by A. Holiday),,4,93,88,5,2267.0
9:43.0,Turnover by O. Brissett (lost ball; steal by D. Brooks),93-88, ,,4,93,88,5,2297.0
9:36.0, ,93-88,J. Landale misses 2-pt layup from 3 ft,,4,93,88,5,2304.0
