Time,Boston,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:33.0, ,68-61,Turnover by J. Green (bad pass),,3,68,61,7,1527.0
10:08.0,A. Horford makes 3-pt jump shot from 26 ft (assist by J. Holiday),71-61, ,,3,71,61,10,1552.0
9:54.0, ,71-64,K. Irving makes 3-pt jump shot from 28 ft,,3,71,64,7,1566.0
9:47.0,Personal foul by L. Dončić (drawn by J. Brown),71-64, ,,3,71,64,7,1573.0
9:36.0,J. Brown makes 2-pt jump shot from 14 ft,73-64, ,,3,73,64,9,1584.0
9:21.0, ,73-64,L. Dončić misses 2-pt layup from 3 ft,,3,73,64,9,1599.0
9:19.0, ,73-64,Offensive rebound by D. Lively,,3,73,64,9,1601.0
9:18.0, ,73-64,Turnover by D. Lively (lost ball; steal by D. White),,3,73,64,9,1602.0
9:11.0,Shooting foul by J. Green (drawn by J. Brown),73-64, ,,3,73,64,9,1609.0
9:11.0,J. Tatum makes free throw 1 of 2,74-64, ,,3,74,64,10,1609.0
9:11.0,J. Tatum misses free throw 2 of 2,74-64, ,,3,74,64,10,1609.0
9:09.0, ,74-64,Defensive rebound by L. Dončić,,3,74,64,10,1611.0
9:03.0, ,74-64,Personal foul by A. Horford (drawn by D. Jones),,3,74,64,10,1617.0
8:54.0, ,74-64,D. Jones misses 2-pt layup from 2 ft,,3,74,64,10,1626.0
8:52.0,Defensive rebound by J. Tatum,74-64, ,,3,74,64,10,1628.0
8:44.0,Shooting foul by K. Irving (drawn by J. Tatum),74-64, ,,3,74,64,10,1636.0
8:44.0,J. Tatum makes free throw 1 of 2,75-64, ,,3,75,64,11,1636.0
8:44.0, ,75-64,T. Hardaway enters the game for J. Green,,3,75,64,11,1636.0
8:44.0, ,75-64,M. Kleber enters the game for D. Lively,,3,75,64,11,1636.0
8:44.0,J. Tatum makes free throw 2 of 2,76-64, ,,3,76,64,12,1636.0
8:33.0, ,76-64,K. Irving misses 2-pt jump shot from 7 ft,,3,76,64,12,1647.0
8:32.0,Defensive rebound by Team,76-64, ,,3,76,64,12,1648.0
8:22.0,J. Brown misses 3-pt jump shot from 24 ft,76-64, ,,3,76,64,12,1658.0
