Time,Cleveland,Score,Boston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:24.0,G. Niang misses 3-pt jump shot from 27 ft,24-33, ,,1,33,24,9,696.0
0:22.0, ,24-33,Defensive rebound by P. Pritchard,,1,33,24,9,698.0
0:01.0, ,24-33,Turnover by J. Holiday (bad pass),,1,33,24,9,719.0
0:00.0,End of 1st quarter,24-33,,,1,33,24,9,720.0
12:00.0,Start of 2nd quarter,24-33,,,2,33,24,9,720.0
11:46.0,Turnover by G. Niang (traveling),24-33, ,,2,33,24,9,734.0
11:38.0, ,24-33,Turnover by J. Tatum (bad pass),,2,33,24,9,742.0
11:26.0,D. Wade misses 3-pt jump shot from 27 ft,24-33, ,,2,33,24,9,754.0
11:22.0, ,24-33,Defensive rebound by P. Pritchard,,2,33,24,9,758.0
11:18.0, ,24-35,A. Horford makes 2-pt layup from 3 ft (assist by P. Pritchard),,2,35,24,11,762.0
10:56.0,Offensive foul by T. Thompson (drawn by J. Holiday),24-35, ,,2,35,24,11,784.0
10:56.0,Turnover by T. Thompson (offensive foul),24-35, ,,2,35,24,11,784.0
10:45.0, ,24-35,J. Tatum misses 3-pt jump shot from 26 ft,,2,35,24,11,795.0
10:43.0,Defensive rebound by M. Strus,24-35, ,,2,35,24,11,797.0
10:33.0,D. Garland misses 2-pt jump shot from 8 ft,24-35, ,,2,35,24,11,807.0
10:32.0,Offensive rebound by T. Thompson,24-35, ,,2,35,24,11,808.0
10:32.0,T. Thompson makes 2-pt layup at rim,26-35, ,,2,35,26,9,808.0
10:22.0, ,26-35,J. Holiday misses 2-pt layup from 2 ft,,2,35,26,9,818.0
10:21.0,Defensive rebound by T. Thompson,26-35, ,,2,35,26,9,819.0
10:06.0,Shooting foul by J. Tatum (drawn by G. Niang),26-35, ,,2,35,26,9,834.0
10:06.0,G. Niang makes free throw 1 of 2,27-35, ,,2,35,27,8,834.0
10:06.0,G. Niang makes free throw 2 of 2,28-35, ,,2,35,28,7,834.0
9:47.0, ,28-38,S. Hauser makes 3-pt jump shot from 26 ft (assist by A. Horford),,2,38,28,10,853.0
9:31.0,D. Garland misses 2-pt jump shot from 15 ft (block by P. Pritchard),28-38, ,,2,38,28,10,869.0
9:30.0,Offensive rebound by Team,28-38, ,,2,38,28,10,870.0
9:18.0,D. Garland misses 2-pt jump shot from 11 ft (block by A. Horford),28-38, ,,2,38,28,10,882.0
9:17.0, ,28-38,Defensive rebound by A. Horford,,2,38,28,10,883.0
9:15.0, ,28-38,Shooting foul by M. Strus (drawn by J. Tatum),,2,38,28,10,885.0
9:15.0, ,28-39,J. Tatum makes free throw 1 of 2,,2,39,28,11,885.0
9:15.0,D. Mitchell enters the game for T. Thompson,28-39, ,,2,39,28,11,885.0
9:15.0, ,28-40,J. Tatum makes free throw 2 of 2,,2,40,28,12,885.0
9:05.0,D. Garland misses 2-pt layup from 3 ft,28-40, ,,2,40,28,12,895.0
9:04.0,Offensive rebound by D. Wade,28-40, ,,2,40,28,12,896.0
9:03.0,Shooting foul by S. Hauser (drawn by D. Wade),28-40, ,,2,40,28,12,897.0
9:03.0,D. Wade makes free throw 1 of 2,29-40, ,,2,40,29,11,897.0
9:03.0,D. Wade makes free throw 2 of 2,30-40, ,,2,40,30,10,897.0
8:52.0, ,30-42,J. Holiday makes 2-pt layup from 2 ft (assist by A. Horford),,2,42,30,12,908.0
8:39.0,G. Niang misses 2-pt hook shot from 3 ft,30-42, ,,2,42,30,12,921.0
8:37.0, ,30-42,Defensive rebound by A. Horford,,2,42,30,12,923.0
8:20.0, ,30-42,J. Tatum misses 2-pt layup from 4 ft,,2,42,30,12,940.0
8:19.0,Defensive rebound by D. Wade,30-42, ,,2,42,30,12,941.0
8:14.0,G. Niang misses 3-pt jump shot from 27 ft,30-42, ,,2,42,30,12,946.0
8:13.0, ,30-42,Defensive rebound by A. Horford,,2,42,30,12,947.0
8:13.0, ,30-42,J. Brown enters the game for S. Hauser,,2,42,30,12,947.0
8:13.0, ,30-42,K. Porziņģis enters the game for A. Horford,,2,42,30,12,947.0
8:03.0, ,30-42,K. Porziņģis misses 3-pt jump shot from 25 ft,,2,42,30,12,957.0
8:02.0,Defensive rebound by D. Wade,30-42, ,,2,42,30,12,958.0
7:45.0,D. Garland makes 2-pt layup from 2 ft,32-42, ,,2,42,32,10,975.0
7:33.0, ,32-42,Personal foul by G. Niang (drawn by J. Tatum),,2,42,32,10,987.0
7:28.0, ,32-42,J. Holiday misses 2-pt jump shot from 12 ft,,2,42,32,10,992.0
7:27.0,Defensive rebound by G. Niang,32-42, ,,2,42,32,10,993.0
7:19.0,D. Wade makes 3-pt jump shot from 28 ft (assist by D. Garland),35-42, ,,2,42,35,7,1001.0
7:18.0, ,35-42,Boston full timeout,,2,42,35,7,1002.0
7:18.0, ,35-42,S. Hauser enters the game for P. Pritchard,,2,42,35,7,1002.0
7:18.0, ,35-42,D. White enters the game for J. Tatum,,2,42,35,7,1002.0
7:09.0, ,35-44,K. Porziņģis makes 2-pt layup from 4 ft (assist by J. Holiday),,2,44,35,9,1011.0
7:09.0, ,35-44,Shooting foul by D. Garland (drawn by K. Porziņģis),,2,44,35,9,1011.0
7:09.0, ,35-45,K. Porziņģis makes free throw 1 of 1,,2,45,35,10,1011.0
6:49.0,Turnover by D. Garland (bad pass; steal by D. White),35-45, ,,2,45,35,10,1031.0
6:47.0, ,35-45,Turnover by D. White (bad pass),,2,45,35,10,1033.0
6:47.0,C. LeVert enters the game for D. Garland,35-45, ,,2,45,35,10,1033.0
6:33.0,G. Niang makes 2-pt hook shot from 7 ft,37-45, ,,2,45,37,8,1047.0
6:18.0, ,37-47,J. Brown makes 2-pt jump shot from 13 ft,,2,47,37,10,1062.0
5:58.0,Personal foul by J. Brown (drawn by D. Mitchell),37-47, ,,2,47,37,10,1082.0
5:58.0,J. Allen enters the game for D. Wade,37-47, ,,2,47,37,10,1082.0
5:48.0,M. Strus misses 3-pt jump shot from 29 ft,37-47, ,,2,47,37,10,1092.0
5:46.0, ,37-47,Defensive rebound by D. White,,2,47,37,10,1094.0
5:35.0, ,37-50,J. Brown makes 3-pt jump shot from 23 ft (assist by S. Hauser),,2,50,37,13,1105.0
5:24.0,D. Mitchell makes 2-pt jump shot from 13 ft,39-50, ,,2,50,39,11,1116.0
5:14.0, ,39-50,D. White misses 2-pt jump shot from 12 ft,,2,50,39,11,1126.0
5:13.0,Defensive rebound by M. Strus,39-50, ,,2,50,39,11,1127.0
5:05.0,C. LeVert misses 3-pt jump shot from 24 ft,39-50, ,,2,50,39,11,1135.0
5:04.0,Offensive rebound by M. Strus,39-50, ,,2,50,39,11,1136.0
5:03.0,Turnover by M. Strus (bad pass; steal by K. Porziņģis),39-50, ,,2,50,39,11,1137.0
4:55.0, ,39-50,J. Brown misses 2-pt jump shot from 3 ft,,2,50,39,11,1145.0
4:54.0, ,39-50,Offensive rebound by K. Porziņģis,,2,50,39,11,1146.0
4:53.0, ,39-52,K. Porziņģis makes 2-pt dunk from 1 ft,,2,52,39,13,1147.0
4:46.0,Technical foul by M. Strus,39-52, ,,2,52,39,13,1154.0
4:46.0, ,39-53,K. Porziņģis makes technical free throw,,2,53,39,14,1154.0
4:34.0,D. Mitchell makes 2-pt layup from 4 ft,41-53, ,,2,53,41,12,1166.0
4:21.0, ,41-55,J. Holiday makes 2-pt jump shot from 11 ft,,2,55,41,14,1179.0
4:02.0,M. Strus makes 3-pt jump shot from 24 ft (assist by C. LeVert),44-55, ,,2,55,44,11,1198.0
3:46.0, ,44-55,Shooting foul by G. Niang (drawn by K. Porziņģis),,2,55,44,11,1214.0
3:46.0, ,44-56,K. Porziņģis makes free throw 1 of 2,,2,56,44,12,1214.0
3:46.0,D. Garland enters the game for G. Niang,44-56, ,,2,56,44,12,1214.0
3:46.0, ,44-56,J. Tatum enters the game for S. Hauser,,2,56,44,12,1214.0
3:46.0, ,44-57,K. Porziņģis makes free throw 2 of 2,,2,57,44,13,1214.0
