Time,Boston,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:43.0,Offensive foul by A. Horford (drawn by G. Allen),67-60, ,,3,67,60,7,1637.0
8:43.0,Turnover by A. Horford (offensive foul),67-60, ,,3,67,60,7,1637.0
8:41.0, ,67-60,Shooting foul by D. White (drawn by G. Allen),,3,67,60,7,1639.0
8:41.0, ,67-60,G. Allen misses free throw 1 of 2,,3,67,60,7,1639.0
8:41.0, ,67-60,Offensive rebound by Team,,3,67,60,7,1639.0
8:41.0, ,67-61,G. Allen makes free throw 2 of 2,,3,67,61,6,1639.0
8:22.0,A. Horford makes 2-pt dunk from 2 ft (assist by D. White),69-61, ,,3,69,61,8,1658.0
8:02.0, ,69-61,G. Allen misses 3-pt jump shot from 25 ft,,3,69,61,8,1678.0
8:01.0,Defensive rebound by Team,69-61, ,,3,69,61,8,1679.0
8:01.0, ,69-61,Loose ball foul by J. Nurkić (drawn by J. Brown),,3,69,61,8,1679.0
7:49.0,J. Brown misses 3-pt jump shot from 26 ft,69-61, ,,3,69,61,8,1691.0
7:47.0, ,69-61,Defensive rebound by G. Allen,,3,69,61,8,1693.0
7:39.0, ,69-63,B. Beal makes 2-pt layup from 1 ft,,3,69,63,6,1701.0
7:26.0,J. Brown makes 2-pt layup from 2 ft,71-63, ,,3,71,63,8,1714.0
7:15.0, ,71-63,Personal foul by D. White (drawn by G. Allen),,3,71,63,8,1725.0
7:04.0, ,71-65,K. Durant makes 2-pt dunk from 1 ft,,3,71,65,6,1736.0
6:48.0,J. Tatum makes 2-pt jump shot from 2 ft (assist by D. White),73-65, ,,3,73,65,8,1752.0
6:48.0,Shooting foul by B. Beal (drawn by J. Tatum),73-65, ,,3,73,65,8,1752.0
6:48.0,S. Hauser enters the game for D. White,73-65, ,,3,73,65,8,1752.0
6:48.0,J. Tatum makes free throw 1 of 1,74-65, ,,3,74,65,9,1752.0
6:34.0, ,74-65,R. O'Neale misses 3-pt jump shot from 25 ft,,3,74,65,9,1766.0
6:29.0,Defensive rebound by J. Tatum,74-65, ,,3,74,65,9,1771.0
6:25.0,J. Holiday makes 3-pt jump shot from 26 ft (assist by A. Horford),77-65, ,,3,77,65,12,1775.0
6:12.0, ,77-65,R. O'Neale misses 3-pt jump shot from 26 ft,,3,77,65,12,1788.0
6:08.0,Defensive rebound by S. Hauser,77-65, ,,3,77,65,12,1792.0
6:00.0,A. Horford misses 3-pt jump shot from 26 ft,77-65, ,,3,77,65,12,1800.0
5:58.0,Offensive rebound by Team,77-65, ,,3,77,65,12,1802.0
5:58.0, ,77-65,Loose ball foul by J. Nurkić (drawn by J. Brown),,3,77,65,12,1802.0
5:58.0, ,77-65,Phoenix full timeout,,3,77,65,12,1802.0
5:58.0, ,77-65,Instant Replay (Challenge: Stands),,3,77,65,12,1802.0
5:50.0,Turnover by J. Holiday (bad pass; steal by B. Beal),77-65, ,,3,77,65,12,1810.0
5:46.0, ,77-65,Turnover by K. Durant (bad pass),,3,77,65,12,1814.0
5:36.0,A. Horford misses 3-pt jump shot from 26 ft,77-65, ,,3,77,65,12,1824.0
5:33.0, ,77-65,Defensive rebound by K. Durant,,3,77,65,12,1827.0
5:28.0, ,77-65,Personal foul by J. Brown (drawn by B. Beal),,3,77,65,12,1832.0
5:28.0,L. Kornet enters the game for J. Brown,77-65, ,,3,77,65,12,1832.0
5:28.0,P. Pritchard enters the game for A. Horford,77-65, ,,3,77,65,12,1832.0
5:28.0, ,77-65,E. Gordon enters the game for G. Allen,,3,77,65,12,1832.0
5:22.0, ,77-67,J. Nurkić makes 2-pt layup from 3 ft (assist by K. Durant),,3,77,67,10,1838.0
5:22.0, ,77-67,Shooting foul by L. Kornet (drawn by J. Nurkić),,3,77,67,10,1838.0
5:22.0, ,77-67,J. Nurkić misses free throw 1 of 1,,3,77,67,10,1838.0
5:18.0,Defensive rebound by L. Kornet,77-67, ,,3,77,67,10,1842.0
5:06.0,S. Hauser misses 3-pt jump shot from 25 ft,77-67, ,,3,77,67,10,1854.0
5:03.0, ,77-67,Defensive rebound by K. Durant,,3,77,67,10,1857.0
5:01.0, ,77-69,B. Beal makes 2-pt layup from 2 ft (assist by K. Durant),,3,77,69,8,1859.0
4:39.0,J. Tatum misses 2-pt jump shot from 9 ft,77-69, ,,3,77,69,8,1881.0
4:36.0, ,77-69,Defensive rebound by R. O'Neale,,3,77,69,8,1884.0
4:24.0, ,77-71,K. Durant makes 2-pt jump shot from 8 ft (assist by J. Nurkić),,3,77,71,6,1896.0
4:08.0,Personal foul by R. O'Neale (drawn by J. Holiday),77-71, ,,3,77,71,6,1912.0
4:00.0,Turnover by J. Holiday (bad pass; steal by K. Durant),77-71, ,,3,77,71,6,1920.0
3:56.0, ,77-74,K. Durant makes 3-pt jump shot from 25 ft,,3,77,74,3,1924.0
3:54.0,Boston full timeout,77-74, ,,3,77,74,3,1926.0
3:43.0,S. Hauser misses 3-pt jump shot from 27 ft,77-74, ,,3,77,74,3,1937.0
3:40.0, ,77-74,Defensive rebound by Team,,3,77,74,3,1940.0
3:22.0, ,77-74,B. Beal misses 2-pt jump shot from 18 ft,,3,77,74,3,1958.0
3:18.0, ,77-74,Offensive rebound by J. Nurkić,,3,77,74,3,1962.0
3:18.0, ,77-74,J. Nurkić misses 2-pt layup at rim,,3,77,74,3,1962.0
3:15.0, ,77-74,Turnover by J. Nurkić (lost ball; steal by J. Holiday),,3,77,74,3,1965.0
3:06.0,J. Tatum misses 3-pt jump shot from 24 ft,77-74, ,,3,77,74,3,1974.0
