Time,Boston,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
11:18.0, ,45-63,Personal foul by J. Tatum (drawn by B. Lopez),,3,45,63,-18,1482.0
11:05.0, ,45-66,P. Beverley makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,3,45,66,-21,1495.0
10:39.0,Turnover by J. Brown (lost ball; steal by D. Lillard),45-66, ,,3,45,66,-21,1521.0
10:36.0, ,45-66,P. Beverley misses 3-pt jump shot from 23 ft,,3,45,66,-21,1524.0
10:33.0,Defensive rebound by J. Holiday,45-66, ,,3,45,66,-21,1527.0
10:25.0,J. Brown makes 2-pt dunk from 2 ft (assist by J. Holiday),47-66, ,,3,47,66,-19,1535.0
9:59.0, ,47-69,P. Beverley makes 3-pt jump shot from 23 ft (assist by D. Lillard),,3,47,69,-22,1561.0
9:34.0,J. Tatum misses 3-pt jump shot from 26 ft,47-69, ,,3,47,69,-22,1586.0
9:30.0, ,47-69,Defensive rebound by P. Beverley,,3,47,69,-22,1590.0
9:25.0, ,47-69,Turnover by G. Antetokounmpo (step out of bounds),,3,47,69,-22,1595.0
9:02.0,J. Brown misses 3-pt jump shot from 33 ft,47-69, ,,3,47,69,-22,1618.0
9:00.0,Offensive rebound by D. White,47-69, ,,3,47,69,-22,1620.0
8:56.0,J. Tatum makes 3-pt jump shot from 26 ft (assist by X. Tillman),50-69, ,,3,50,69,-19,1624.0
8:34.0, ,50-69,Turnover by K. Middleton (bad pass; steal by J. Brown),,3,50,69,-19,1646.0
8:26.0,Turnover by J. Brown (bad pass; steal by K. Middleton),50-69, ,,3,50,69,-19,1654.0
8:20.0, ,50-69,Turnover by K. Middleton (lost ball; steal by D. White),,3,50,69,-19,1660.0
8:18.0,J. Brown misses 2-pt layup from 2 ft,50-69, ,,3,50,69,-19,1662.0
8:16.0, ,50-69,Defensive rebound by P. Beverley,,3,50,69,-19,1664.0
7:59.0, ,50-69,D. Lillard misses 2-pt layup from 3 ft (block by X. Tillman),,3,50,69,-19,1681.0
7:59.0,Defensive rebound by Team,50-69, ,,3,50,69,-19,1681.0
7:41.0,X. Tillman misses 2-pt layup from 3 ft (block by G. Antetokounmpo),50-69, ,,3,50,69,-19,1699.0
7:41.0,Offensive rebound by Team,50-69, ,,3,50,69,-19,1699.0
7:38.0,X. Tillman misses 3-pt jump shot from 28 ft,50-69, ,,3,50,69,-19,1702.0
7:36.0, ,50-69,Defensive rebound by P. Beverley,,3,50,69,-19,1704.0
7:19.0, ,50-69,D. Lillard misses 3-pt jump shot from 27 ft,,3,50,69,-19,1721.0
7:17.0,Defensive rebound by J. Brown,50-69, ,,3,50,69,-19,1723.0
7:10.0,Personal take foul by K. Middleton (drawn by J. Tatum),50-69, ,,3,50,69,-19,1730.0
7:10.0,S. Hauser enters the game for X. Tillman,50-69, ,,3,50,69,-19,1730.0
7:03.0,J. Holiday misses 3-pt jump shot from 24 ft,50-69, ,,3,50,69,-19,1737.0
6:59.0, ,50-69,Defensive rebound by K. Middleton,,3,50,69,-19,1741.0
6:49.0, ,50-69,K. Middleton misses 3-pt jump shot from 26 ft,,3,50,69,-19,1751.0
6:46.0, ,50-69,Offensive rebound by B. Lopez,,3,50,69,-19,1754.0
6:46.0, ,50-69,Milwaukee full timeout,,3,50,69,-19,1754.0
6:46.0, ,50-69,Instant Replay (Challenge: Stands),,3,50,69,-19,1754.0
6:46.0, ,50-69,P. Connaughton enters the game for P. Beverley,,3,50,69,-19,1754.0
6:41.0, ,50-69,G. Antetokounmpo misses 2-pt jump shot from 12 ft,,3,50,69,-19,1759.0
6:38.0,Defensive rebound by D. White,50-69, ,,3,50,69,-19,1762.0
6:27.0,J. Brown misses 3-pt jump shot from 25 ft,50-69, ,,3,50,69,-19,1773.0
6:24.0,Offensive rebound by S. Hauser,50-69, ,,3,50,69,-19,1776.0
6:24.0,Turnover by S. Hauser (step out of bounds),50-69, ,,3,50,69,-19,1776.0
6:01.0, ,50-71,K. Middleton makes 2-pt jump shot from 17 ft (assist by P. Connaughton),,3,50,71,-21,1799.0
5:35.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by S. Hauser),53-71, ,,3,53,71,-18,1825.0
5:16.0, ,53-73,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,3,53,73,-20,1844.0
4:56.0,J. Tatum makes 2-pt layup from 3 ft,55-73, ,,3,55,73,-18,1864.0
4:48.0, ,55-73,Personal foul by D. White (drawn by D. Lillard),,3,55,73,-18,1872.0
4:37.0, ,55-73,K. Middleton misses 3-pt jump shot from 26 ft,,3,55,73,-18,1883.0
4:34.0,Defensive rebound by D. White,55-73, ,,3,55,73,-18,1886.0
