Time,Boston,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:45.0, ,72-62,Charlotte full timeout,,3,72,62,10,1695.0
7:33.0, ,72-62,Shooting foul by D. White (drawn by M. Bridges),,3,72,62,10,1707.0
7:33.0, ,72-63,M. Bridges makes free throw 1 of 2,,3,72,63,9,1707.0
7:33.0, ,72-64,M. Bridges makes free throw 2 of 2,,3,72,64,8,1707.0
7:12.0,A. Horford makes 2-pt hook shot from 4 ft (assist by K. Porziņģis),74-64, ,,3,74,64,10,1728.0
6:51.0, ,74-64,T. Mann misses 3-pt jump shot from 26 ft,,3,74,64,10,1749.0
6:49.0,Defensive rebound by J. Tatum,74-64, ,,3,74,64,10,1751.0
6:40.0,J. Tatum makes 2-pt dunk from 1 ft,76-64, ,,3,76,64,12,1760.0
6:12.0, ,76-64,B. Miller misses 2-pt jump shot from 12 ft,,3,76,64,12,1788.0
6:08.0,Defensive rebound by J. Tatum,76-64, ,,3,76,64,12,1792.0
6:05.0,Shooting foul by T. Mann (drawn by K. Porziņģis),76-64, ,,3,76,64,12,1795.0
6:05.0,K. Porziņģis makes free throw 1 of 2,77-64, ,,3,77,64,13,1795.0
6:05.0,P. Pritchard enters the game for D. White,77-64, ,,3,77,64,13,1795.0
6:05.0, ,77-64,A. Pokusevski enters the game for T. Mann,,3,77,64,13,1795.0
6:05.0,K. Porziņģis makes free throw 2 of 2,78-64, ,,3,78,64,14,1795.0
5:41.0, ,78-67,B. Miller makes 3-pt jump shot from 26 ft (assist by G. Williams),,3,78,67,11,1819.0
5:16.0,J. Tatum makes 3-pt jump shot from 28 ft (assist by P. Pritchard),81-67, ,,3,81,67,14,1844.0
5:06.0, ,81-67,Shooting foul by P. Pritchard (drawn by V. Micić),,3,81,67,14,1854.0
5:06.0, ,81-68,V. Micić makes free throw 1 of 2,,3,81,68,13,1854.0
5:06.0, ,81-69,V. Micić makes free throw 2 of 2,,3,81,69,12,1854.0
4:49.0,K. Porziņģis misses 3-pt jump shot from 27 ft,81-69, ,,3,81,69,12,1871.0
4:47.0, ,81-69,Defensive rebound by B. Miller,,3,81,69,12,1873.0
4:30.0, ,81-69,V. Micić misses 3-pt jump shot from 25 ft,,3,81,69,12,1890.0
4:27.0,Defensive rebound by J. Holiday,81-69, ,,3,81,69,12,1893.0
4:24.0,J. Holiday misses 2-pt jump shot from 3 ft,81-69, ,,3,81,69,12,1896.0
4:24.0,Offensive rebound by Team,81-69, ,,3,81,69,12,1896.0
4:24.0, ,81-69,Loose ball foul by B. Miller (drawn by K. Porziņģis),,3,81,69,12,1896.0
4:24.0,S. Hauser enters the game for A. Horford,81-69, ,,3,81,69,12,1896.0
4:18.0,J. Holiday misses 3-pt jump shot from 26 ft,81-69, ,,3,81,69,12,1902.0
4:15.0, ,81-69,Defensive rebound by A. Pokusevski,,3,81,69,12,1905.0
4:08.0, ,81-71,M. Bridges makes 2-pt layup from 1 ft,,3,81,71,10,1912.0
3:48.0,S. Hauser makes 2-pt jump shot from 10 ft (assist by P. Pritchard),83-71, ,,3,83,71,12,1932.0
3:21.0, ,83-74,V. Micić makes 3-pt jump shot from 28 ft (assist by A. Pokusevski),,3,83,74,9,1959.0
2:58.0,J. Tatum misses 3-pt jump shot from 27 ft,83-74, ,,3,83,74,9,1982.0
2:54.0, ,83-74,Defensive rebound by B. Miller,,3,83,74,9,1986.0
2:53.0, ,83-76,M. Bridges makes 2-pt dunk from 2 ft (assist by B. Miller),,3,83,76,7,1987.0
2:53.0,Boston full timeout,83-76, ,,3,83,76,7,1987.0
2:53.0,O. Brissett enters the game for J. Holiday,83-76, ,,3,83,76,7,1987.0
2:53.0, ,83-76,D. Bertāns enters the game for V. Micić,,3,83,76,7,1987.0
2:53.0, ,83-76,M. Bolden enters the game for B. Miller,,3,83,76,7,1987.0
2:53.0, ,83-76,T. Mann enters the game for G. Williams,,3,83,76,7,1987.0
2:39.0,K. Porziņģis makes 2-pt jump shot from 7 ft,85-76, ,,3,85,76,9,2001.0
2:39.0,Shooting foul by M. Bolden (drawn by K. Porziņģis),85-76, ,,3,85,76,9,2001.0
2:39.0,K. Porziņģis makes free throw 1 of 1,86-76, ,,3,86,76,10,2001.0
2:22.0, ,86-76,M. Bridges misses 3-pt jump shot from 25 ft,,3,86,76,10,2018.0
2:20.0,Defensive rebound by J. Tatum,86-76, ,,3,86,76,10,2020.0
2:04.0,J. Tatum misses 2-pt layup from 3 ft (block by D. Bertāns),86-76, ,,3,86,76,10,2036.0
2:00.0, ,86-76,Defensive rebound by M. Bridges,,3,86,76,10,2040.0
