Time,Boston,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:46.0,Boston full timeout,79-66, ,,3,79,66,13,1814.0
5:46.0,S. Hauser enters the game for P. Pritchard,79-66, ,,3,79,66,13,1814.0
5:46.0,L. Kornet enters the game for J. Tatum,79-66, ,,3,79,66,13,1814.0
5:37.0,S. Hauser makes 3-pt jump shot from 24 ft (assist by J. Brown),82-66, ,,3,82,66,16,1823.0
5:10.0, ,82-68,J. Grant makes 2-pt jump shot from 20 ft,,3,82,68,14,1850.0
4:48.0,Turnover by L. Kornet (lost ball; steal by J. Grant),82-68, ,,3,82,68,14,1872.0
4:40.0, ,82-68,D. Ayton misses 2-pt jump shot from 17 ft,,3,82,68,14,1880.0
4:36.0,Defensive rebound by A. Horford,82-68, ,,3,82,68,14,1884.0
4:31.0,J. Brown misses 3-pt jump shot from 26 ft,82-68, ,,3,82,68,14,1889.0
4:29.0,Offensive rebound by Team,82-68, ,,3,82,68,14,1891.0
4:24.0,Turnover by D. White (bad pass; steal by M. Thybulle),82-68, ,,3,82,68,14,1896.0
4:08.0, ,82-68,J. Grant misses 2-pt layup from 2 ft (block by S. Hauser),,3,82,68,14,1912.0
4:06.0, ,82-68,Offensive rebound by Team,,3,82,68,14,1914.0
4:06.0, ,82-68,S. Henderson enters the game for A. Simons,,3,82,68,14,1914.0
4:06.0, ,82-68,Personal foul by D. White (drawn by J. Grant),,3,82,68,14,1914.0
3:58.0, ,82-70,S. Henderson makes 2-pt jump shot from 14 ft,,3,82,70,12,1922.0
3:40.0,J. Brown misses 3-pt jump shot from 26 ft,82-70, ,,3,82,70,12,1940.0
3:37.0, ,82-70,Defensive rebound by D. Ayton,,3,82,70,12,1943.0
3:33.0, ,82-70,J. Grant misses 3-pt jump shot from 25 ft,,3,82,70,12,1947.0
3:31.0,Defensive rebound by Team,82-70, ,,3,82,70,12,1949.0
3:24.0,D. White makes 2-pt layup from 3 ft (assist by J. Brown),84-70, ,,3,84,70,14,1956.0
3:09.0, ,84-70,D. Ayton misses 2-pt jump shot from 10 ft,,3,84,70,14,1971.0
3:07.0,Defensive rebound by J. Brown,84-70, ,,3,84,70,14,1973.0
2:46.0,J. Brown misses 2-pt jump shot from 16 ft,84-70, ,,3,84,70,14,1994.0
2:44.0, ,84-70,Defensive rebound by M. Thybulle,,3,84,70,14,1996.0
